,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Gammagard,,,,,,,,,,,,,,,,,,,
1,1,azathioprine,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chest pain;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain or tenderness;clay-colored stools;dark urine;decreased appetite;fast heartbeat;fever (sudden);headaches;itching;loss of appetite;muscle or joint pain;nausea, vomiting, and diarrhea (severe);redness or blisters on the skin;swelling of the feet or lower legs;unusual feeling of discomfort or illness (sudden);yellow eyes or skin;abdominal or stomach cramps;diarrhea;difficulty with breathing;difficulty with moving;fat in the stool;general feeling of illness;pale skin;sores on the skin;sudden loss of weight;troubled breathing with movement;weight loss;nausea or vomiting (mild);swollen joints;hair loss or thinning of the hair;or",,,,,,,,
2,2,Gamunex,,,,,,,,,,,"chills;cough;fast, pounding, or irregular heartbeat or pulse;fever;noisy breathing;tightness in the chest;troubled breathing;unusual tiredness or weakness;bluish coloring of the lips or nail beds;burning sensation in the head;faintness or lightheadedness;difficulty with swallowing;hives or welts;itching, especially of the feet or hands;reddening of the skin, especially around the ears;swelling of the eyes, face, or inside of the nose;back, leg, or stomach pains;blistering, peeling, or loosening of the skin;change in vision;changes in urination;chest pain or discomfort;cold, clammy, or pale skin;confusion;convulsions;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fever;headache that is severe and occurs suddenly;light-colored stools;loss of consciousness;low blood pressure or pulse;muscle spasm or jerking of all extremities;nausea or vomiting;pains in the chest, groin, or legs, especially calves of the legs;shakiness in the legs, arms, hands, or feet;skin blisters;slow breathing;slurred speech that occurs suddenly;sores, ulcers, or white spots in the mouth or on the lips;sudden, severe weakness or numbness in the arm or leg;sweating;swelling in the legs and ankles;tightness in the chest;unusual bleeding or bruising;yellow eyes or skin;diarrhea;dizziness;headache;joint pain;muscle pain;redness, swelling, itching, or pain at the injection site;skin rash;hip pain;leg cramps;feeling of warmth;redness of the face, neck, arms, and occasionally, upper chest;stomach pain;swollen glands;tiredness;weakness",,,,,,,,
3,3,Imuran,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chest pain;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain or tenderness;clay-colored stools;dark urine;decreased appetite;fast heartbeat;fever (sudden);headaches;itching;loss of appetite;muscle or joint pain;nausea, vomiting, and diarrhea (severe);redness or blisters on the skin;swelling of the feet or lower legs;unusual feeling of discomfort or illness (sudden);yellow eyes or skin;abdominal or stomach cramps;diarrhea;difficulty with breathing;difficulty with moving;fat in the stool;general feeling of illness;pale skin;sores on the skin;sudden loss of weight;troubled breathing with movement;weight loss;nausea or vomiting (mild);swollen joints;hair loss or thinning of the hair;or",,,,,,,,
4,4,immune globulin intravenous,,,,,,,,,,,"chills;cough;fast, pounding, or irregular heartbeat or pulse;fever;noisy breathing;tightness in the chest;troubled breathing;unusual tiredness or weakness;bluish coloring of the lips or nail beds;burning sensation in the head;faintness or lightheadedness;difficulty with swallowing;hives or welts;itching, especially of the feet or hands;reddening of the skin, especially around the ears;swelling of the eyes, face, or inside of the nose;back, leg, or stomach pains;blistering, peeling, or loosening of the skin;change in vision;changes in urination;chest pain or discomfort;cold, clammy, or pale skin;confusion;convulsions;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fever;headache that is severe and occurs suddenly;light-colored stools;loss of consciousness;low blood pressure or pulse;muscle spasm or jerking of all extremities;nausea or vomiting;pains in the chest, groin, or legs, especially calves of the legs;shakiness in the legs, arms, hands, or feet;skin blisters;slow breathing;slurred speech that occurs suddenly;sores, ulcers, or white spots in the mouth or on the lips;sudden, severe weakness or numbness in the arm or leg;sweating;swelling in the legs and ankles;tightness in the chest;unusual bleeding or bruising;yellow eyes or skin;diarrhea;dizziness;headache;joint pain;muscle pain;redness, swelling, itching, or pain at the injection site;skin rash;hip pain;leg cramps;feeling of warmth;redness of the face, neck, arms, and occasionally, upper chest;stomach pain;swollen glands;tiredness;weakness",,,,,,,,
5,5,Gamunex-C,,,,,,,,,,,,,,,,,,,
6,6,Betaseron,,,,,,,,,,,"abdominal or stomach pain;break in the skin at the injection site, with blue-black discoloration, swelling, or drainage of fluid;flu-like symptoms including chills, fever, generalized feeling of discomfort or illness, increased sweating, and muscle pain;headache or migraine;hives, itching, or swelling at the injection site;irregular or pounding heartbeat;redness, pain, or feeling of heat at the injection site;stuffy nose;bloody or cloudy urine;breast pain;changes in vision;cold hands and feet;difficult, burning, or painful urination;fast or racing heartbeat;frequent urge to urinate;pain;pelvic pain;swollen glands;troubled breathing;unusual weight gain;abnormal growth in the breast;benign lumps in the breast;bleeding problems;bloating or swelling;changes in menstrual periods;confusion;convulsions (seizures);cyst (abnormal growth filled with fluid or semisolid material);decreased sexual ability in males;dry, puffy skin;feeling cold;hyperactivity;increased muscle tone;increased urge to urinate;loss of memory;mental depression with thoughts of suicide;problems with speaking;red, itching, or swollen eyes;swelling of the front part of the neck;unusual weight loss;constipation;diarrhea;dizziness;loss of voice;menstrual pain or other changes;unusual tiredness or weakness;anxiety;drowsiness;hair loss;vomiting",,,,,,,,
7,7,Azasan,,,,,,,,,,,"black, tarry stools;bleeding gums;blood in the urine or stools;chest pain;cough or hoarseness;fever or chills;lower back or side pain;painful or difficult urination;pinpoint red spots on the skin;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain or tenderness;clay-colored stools;dark urine;decreased appetite;fast heartbeat;fever (sudden);headaches;itching;loss of appetite;muscle or joint pain;nausea, vomiting, and diarrhea (severe);redness or blisters on the skin;swelling of the feet or lower legs;unusual feeling of discomfort or illness (sudden);yellow eyes or skin;abdominal or stomach cramps;diarrhea;difficulty with breathing;difficulty with moving;fat in the stool;general feeling of illness;pale skin;sores on the skin;sudden loss of weight;troubled breathing with movement;weight loss;nausea or vomiting (mild);swollen joints;hair loss or thinning of the hair;or",,,,,,,,
8,8,immune globulin intravenous and subcutaneous,,,,,,,,,,,,,,,,,,,
9,9,Gammaplex,,,,,,,,,,,"chills;cough;fast, pounding, or irregular heartbeat or pulse;fever;noisy breathing;tightness in the chest;troubled breathing;unusual tiredness or weakness;bluish coloring of the lips or nail beds;burning sensation in the head;faintness or lightheadedness;difficulty with swallowing;hives or welts;itching, especially of the feet or hands;reddening of the skin, especially around the ears;swelling of the eyes, face, or inside of the nose;back, leg, or stomach pains;blistering, peeling, or loosening of the skin;change in vision;changes in urination;chest pain or discomfort;cold, clammy, or pale skin;confusion;convulsions;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fever;headache that is severe and occurs suddenly;light-colored stools;loss of consciousness;low blood pressure or pulse;muscle spasm or jerking of all extremities;nausea or vomiting;pains in the chest, groin, or legs, especially calves of the legs;shakiness in the legs, arms, hands, or feet;skin blisters;slow breathing;slurred speech that occurs suddenly;sores, ulcers, or white spots in the mouth or on the lips;sudden, severe weakness or numbness in the arm or leg;sweating;swelling in the legs and ankles;tightness in the chest;unusual bleeding or bruising;yellow eyes or skin;diarrhea;dizziness;headache;joint pain;muscle pain;redness, swelling, itching, or pain at the injection site;skin rash;hip pain;leg cramps;feeling of warmth;redness of the face, neck, arms, and occasionally, upper chest;stomach pain;swollen glands;tiredness;weakness",,,,,,,,
10,10,interferon beta-1b,,,,,,,,,,,"abdominal or stomach pain;break in the skin at the injection site, with blue-black discoloration, swelling, or drainage of fluid;flu-like symptoms including chills, fever, generalized feeling of discomfort or illness, increased sweating, and muscle pain;headache or migraine;hives, itching, or swelling at the injection site;irregular or pounding heartbeat;redness, pain, or feeling of heat at the injection site;stuffy nose;bloody or cloudy urine;breast pain;changes in vision;cold hands and feet;difficult, burning, or painful urination;fast or racing heartbeat;frequent urge to urinate;pain;pelvic pain;swollen glands;troubled breathing;unusual weight gain;abnormal growth in the breast;benign lumps in the breast;bleeding problems;bloating or swelling;changes in menstrual periods;confusion;convulsions (seizures);cyst (abnormal growth filled with fluid or semisolid material);decreased sexual ability in males;dry, puffy skin;feeling cold;hyperactivity;increased muscle tone;increased urge to urinate;loss of memory;mental depression with thoughts of suicide;problems with speaking;red, itching, or swollen eyes;swelling of the front part of the neck;unusual weight loss;constipation;diarrhea;dizziness;loss of voice;menstrual pain or other changes;unusual tiredness or weakness;anxiety;drowsiness;hair loss;vomiting",,,,,,,,
11,11,Gammaked,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,
